id,title,doi,total_views,total_downloads,total_cites,status,version,size_bytes,created_date,modified_date,published_date,authors,categories,tags,license,defined_type_name,citation,is_embargoed,embargo_date,embargo_type,figshare_url
28560992,The Entropic Force-Field Hypothesis: A Unified Framework for Quantum Gravity,10.6084/m9.figshare.28560992,154,51,0,private,0,229914,2025-03-09T23:14:43Z,2026-03-29T12:13:14Z,2025-03-09T23:30:38Z,John Onimisi Obidi,General relativity and gravitational waves; Foundations of quantum mechanics; Thermodynamics and statistical physics; Mathematical physics not elsewhere classified,"General Relativity Extensions, quantum theory of, Astrophysics - High Energy Astrophysical Phenomena",CC BY 4.0,preprint,"Obidi, John Onimisi (2025). The Entropic Force-Field Hypothesis: A Unified Framework for Quantum Gravity. figshare. Preprint. https://doi.org/10.6084/m9.figshare.28560992",False,,,https://figshare.com/articles/preprint/The_Entropic_Force-Field_Hypothesis_A_Unified_Framework_for_Quantum_Gravity/28560992
28570835,Exploring the Entropic Force-Field Hypothesis_EFFH - New Insights and Investigations,10.6084/m9.figshare.28570835,386,239,0,private,0,215093,2025-03-11T01:35:37Z,2026-03-29T12:14:02Z,2025-03-11T02:00:49Z,John Onimisi Obidi,"Mathematical aspects of general relativity; Mathematical aspects of classical mechanics, quantum mechanics and quantum information theory; General relativity and gravitational waves; Foundations of quantum mechanics; Astroparticle physics and particle cosmology","General Relativity and Quantum Cosmology, General Relativity Extensions, General Relativity Theory, General Relativity deletes Dark Energy, quantum Mechanics Insight, Quantum Gravity; Effective Field Theory; Fractal  Geometry; Experimental Verification, Quantum Field Theory (QFT), String Theory & Extra Dimensions, Loop Quantum Gravity, Relativity and Spacetime, Astrophysics - Earth and Planetary Astrophysics",CC BY 4.0,preprint,"Obidi, John Onimisi (2025). Exploring the Entropic Force-Field Hypothesis_EFFH - New Insights and Investigations. figshare. Preprint. https://doi.org/10.6084/m9.figshare.28570835",False,,,https://figshare.com/articles/preprint/Exploring_the_Entropic_Force-Field_Hypothesis_EFFH_-_New_Insights_and_Investigations/28570835
28580147,Corrections to the Classical Shapiro Time Delay in GeneralRelativity(GR) from the Entropic Force-FieldHypothesis(EFFH),10.6084/m9.figshare.28580147,122,71,0,private,0,347140,2025-03-12T07:42:37Z,2026-03-29T12:15:04Z,2025-03-12T07:54:46Z,John Onimisi Obidi,"Mathematical aspects of general relativity; General relativity and gravitational waves; Quantum optics and quantum optomechanics; Mathematical aspects of quantum and conformal field theory, quantum gravity and string theory; Field theory and string theory; Astroparticle physics and particle cosmology; Particle and high energy physics not elsewhere classified; Particle physics; Thermodynamics and statistical physics; Classical physics not elsewhere classified; Quantum physics not elsewhere classified","General Relativty, Quantum Gravity, Quantum Cosmology, Astrophysics",CC BY 4.0,preprint,"Obidi, John Onimisi (2025). Corrections to the Classical Shapiro Time Delay in GeneralRelativity(GR) from the Entropic Force-FieldHypothesis(EFFH). figshare. Preprint. https://doi.org/10.6084/m9.figshare.28580147",False,,,https://figshare.com/articles/preprint/Corrections_to_the_Classical_Shapiro_Time_Delay_in_GeneralRelativity_GR_from_the_Entropic_Force-FieldHypothesis_EFFH_/28580147
28602719,How the Generalized Entropic Expansion Equation (GEEE) Describes the Deceleration and Acceleration of the Universe in the Absence of Dark Energy,10.6084/m9.figshare.28602719,176,99,0,private,0,440916,2025-03-16T06:51:27Z,2026-03-29T12:17:11Z,2025-03-16T07:54:13Z,John Onimisi Obidi,General relativity and gravitational waves; Classical and physical optics; Classical physics not elsewhere classified; Thermodynamics and statistical physics; Astroparticle physics and particle cosmology; Other physical sciences not elsewhere classified; High energy astrophysics and galactic cosmic rays; Cosmology and extragalactic astronomy; Astronomical sciences not elsewhere classified; Planetary science (excl. solar system and planetary geology),"General Relativity & Quantum Mechanics Unification, cosmology: observations – dark energy – galaxies: clusters: general – X-rays: galaxies: clusters Supporting material: machine-readable tables, Astrophysics Research, Gravity, Friedmann Equation, Dark Matter and Dark Energy in Astrophysics",CC BY 4.0,preprint,"Obidi, John Onimisi (2025). How the Generalized Entropic Expansion Equation (GEEE) Describes the Deceleration and Acceleration of the Universe in the Absence of Dark Energy. figshare. Preprint. https://doi.org/10.6084/m9.figshare.28602719",False,,,https://figshare.com/articles/preprint/How_the_Generalized_Entropic_Expansion_Equation_GEEE_Describes_the_Deceleration_and_Acceleration_of_the_Universe_inthe_Absence_of_Dark_Energy/28602719
28642646,The Theory of Entropicity (ToE): An Entropy-Driven Derivation of Mercury’s Perihelion Precession Beyond Einstein’s Curved Spacetime in General Relativity (GR),10.6084/m9.figshare.28642646,422,139,0,private,0,302642,2025-03-22T03:44:48Z,2026-03-29T12:21:39Z,2025-03-26T02:43:45Z,John Onimisi Obidi,"Classical physics not elsewhere classified; Classical and physical optics; Thermodynamics and statistical physics; Particle physics; Particle and high energy physics not elsewhere classified; Field theory and string theory; Astroparticle physics and particle cosmology; Complex physical systems; Other physical sciences not elsewhere classified; Cosmology and extragalactic astronomy; General relativity and gravitational waves; Mathematical aspects of general relativity; Mathematical physics not elsewhere classified; Mathematical aspects of classical mechanics, quantum mechanics and quantum information theory; Mathematical aspects of quantum and conformal field theory, quantum gravity and string theory","Relativity, Quantum Cosmolgy, General  Relativity, Cosmology, Astrophysics",CC BY 4.0,preprint,"Obidi, John Onimisi (2025). The Theory of Entropicity (ToE): An Entropy-Driven Derivation of Mercury’s Perihelion Precession Beyond Einstein’s Curved Spacetime in General Relativity (GR). figshare. Preprint. https://doi.org/10.6084/m9.figshare.28642646",False,,,https://figshare.com/articles/preprint/The_Theory_of_Entropicity_ToE_An_Entropy-DrivenDerivation_of_Mercury_s_Perihelion_Precession_BeyondEinstein_s_Curved_Spacetime_in_General_Relativity_GR_/28642646
28673645,The Theory of Entropicity (ToE) Validates Einstein’s General Relativity (GR) Prediction for Solar Starlight Deflection via an Entropic Coupling Constant η,10.6084/m9.figshare.28673645,239,100,0,private,0,209614,2025-03-27T00:44:35Z,2026-03-29T12:25:26Z,2025-03-27T01:14:20Z,John Onimisi Obidi,"Mathematical aspects of general relativity; Mathematical aspects of classical mechanics, quantum mechanics and quantum information theory; Classical physics not elsewhere classified; Cosmology and extragalactic astronomy; Other physical sciences not elsewhere classified; General relativity and gravitational waves; Mathematical aspects of quantum and conformal field theory, quantum gravity and string theory; High energy astrophysics and galactic cosmic rays","General Relativity, Cosmology, Albert Einstein, Isaac Newton, Binet Equation, Vis-viva equation, Entropy, Thermodynamics, Entropic gravity, Entropic mass, Entropic curvature, Entropic potential, Entropic function, Entropic coupling, Dynamic entropic coupling",CC BY 4.0,preprint,"Obidi, John Onimisi (2025). The Theory of Entropicity (ToE) Validates Einstein’s General Relativity (GR) Prediction for Solar Starlight Deflection via an Entropic Coupling Constant η. figshare. Preprint. https://doi.org/10.6084/m9.figshare.28673645",False,,,https://figshare.com/articles/preprint/The_Theory_of_Entropicity_ToE_Validates_Einstein_s_GeneralRelativity_GR_Prediction_for_Solar_Starlight_Deflection_viaan_Entropic_Coupling_Constant_/28673645
28689467,Attosecond Constraints on Quantum Entanglement Formation as Empirical Evidence for the Theory of Entropicity (ToE),10.6084/m9.figshare.28689467,287,86,0,private,0,155714,2025-03-29T04:20:21Z,2026-03-29T12:26:42Z,2025-03-29T04:32:12Z,John Onimisi Obidi,"Photonics, optoelectronics and optical communications; Lasers and quantum electronics; Atomic, molecular and optical physics not elsewhere classified; Atomic and molecular physics; Classical and physical optics; Classical physics not elsewhere classified; Electrostatics and electrodynamics; Thermodynamics and statistical physics; Particle physics; Particle and high energy physics not elsewhere classified; Field theory and string theory; Astroparticle physics and particle cosmology; Other physical sciences not elsewhere classified; Complex physical systems; Electronic and magnetic properties of condensed matter; superconductivity; Condensed matter physics not elsewhere classified","Attoseconds, entropy-driven constraints, entropy flow constraints, entropic constraint propagation, entropic evolution, entropic field, entropic synchronization, finite temporal constraints, irreducible finiteness, emergent spacetime, quantum causality, quantum entanglement, quantum information transfer, Theory of Entropicity (ToE)., General Relativty, Particle physics, standard model and beyond, quark flavor physics, entangled interacting, attoseconds, measurements, Quantum entangled states, Quantum Entanglement in Multi-Dimensional Space, quantum entangled photons, quantum entanglement in time, entropic synchronization, finite temporal constraints, quantum causality, quantum information transfer, Theory of Entropicity (ToE)",CC BY 4.0,preprint,"Obidi, John Onimisi (2025). Attosecond Constraints on Quantum Entanglement Formation as Empirical Evidence for the Theory of Entropicity (ToE). figshare. Preprint. https://doi.org/10.6084/m9.figshare.28689467",False,,,https://figshare.com/articles/preprint/Attosecond_Constraints_on_Quantum_Entanglement_Formationas_Empirical_Evidence_for_the_Theory_of_Entropicity_ToE_/28689467
28692563,"Review and Analysis of the Theory of Entropicity (ToE) in Light of the Attosecond Entanglement Formation Experiment: Toward a Unified Entropic Framework for Quantum Measurement, Non-Instantaneous Wave-Function Collapse, and Spacetime Emergence",10.6084/m9.figshare.28692563,370,79,0,private,0,202276,2025-03-30T18:38:28Z,2026-03-29T12:27:16Z,2025-03-30T18:59:56Z,John Onimisi Obidi,"Atomic and molecular physics; Atomic, molecular and optical physics not elsewhere classified; Lasers and quantum electronics; Nonlinear optics and spectroscopy; Photonics, optoelectronics and optical communications; Classical and physical optics; Classical physics not elsewhere classified; Electrostatics and electrodynamics; Condensed matter physics not elsewhere classified; Condensed matter modelling and density functional theory; Nuclear and plasma physics not elsewhere classified; Nuclear physics; Plasma physics; fusion plasmas; electrical discharges; Other physical sciences not elsewhere classified; Complex physical systems; Particle physics; Particle and high energy physics not elsewhere classified; Field theory and string theory; Astroparticle physics and particle cosmology; Quantum technologies; Quantum optics and quantum optomechanics; Quantum information, computation and communication; Foundations of quantum mechanics; Degenerate quantum gases and atom optics; Quantum physics not elsewhere classified; Mesospheric, thermospheric, ionospheric and magnetospheric physics; Synchrotrons and accelerators not elsewhere classified; Synchrotrons; Accelerators; Instruments and techniques","Attosecond entanglement, Attosecond entanglement formation, Attosecond experiment, Attoseconds, Causality, Emergent spacetime, Entanglement formation, Entanglement formation experiment, Entropic causality, Entropic constraint propagation, Entropic evolution, Entropic field, Entropic synchronization, Entropic Time Limit (ETL), Entropy flow constraints, Entropy-driven constraints, Entropy-driven physics, Finite interaction time, Finite temporal constraints, General relativity, Irreducible finiteness, Non-instantaneous entanglement, Quantum causality, Quantum entanglement, Quantum field theory, Quantum information transfer, Quantum measurement, Quantum measurements, Quantum wave-function collapse, Temporal superposition, Theory of Entropicity (ToE), Vuli–Ndlela Inequality, Vuli–Ndlela Integral, Attosecond entanglement, Attosecond entanglement formation, Attosecond experiment, Attoseconds, Causality, Emergent spacetime, Entanglement formation, Entanglement formation experiment, Entropic causality, Entropic constraint propagation, Entropic evolution, Entropic field, Entropic synchronization, Entropic Time Limit (ETL), Entropy flow constraints, Entropy-driven constraints, Entropy-driven physics, Finite interaction time, Finite temporal constraints, General relativity, Irreducible finiteness, Non-instantaneous entanglement, Quantum causality, Quantum entanglement, Quantum field theory, Quantum information transfer, Quantum measurement, Quantum measurements, Quantum wave-function collapse, Temporal superposition, Theory of Entropicity (ToE), Vuli–Ndlela Inequality, Vuli–Ndlela Integral",CC BY 4.0,preprint,"Obidi, John Onimisi (2025). Review and Analysis of the Theory of Entropicity (ToE) in Light of the Attosecond Entanglement Formation Experiment: Toward a Unified Entropic Framework for Quantum Measurement, Non-Instantaneous Wave-Function Collapse, and Spacetime Emergence. figshare. Preprint. https://doi.org/10.6084/m9.figshare.28692563",False,,,https://figshare.com/articles/preprint/Review_and_Analysis_of_the_Theory_of_Entropicity_ToE_in_Lightof_the_Attosecond_Entanglement_Formation_ExperimentToward_a_Unified_Entropic_Framework_for_QuantumMeasurement_Non-Instantaneous_Wave-Function_Collapse_and_Spacetime_Emergence/28692563
28787270,Einstein and Bohr Finally Reconciled on Quantum Theory: The Theory of Entropicity (ToE) as the Unifying Resolution to the Problem of Quantum Measurement and Wave Function Collapse:  A Befitting Contribution to this Year’s Centennial Reflection and Celebration of the Birth of Quantum Mechanics,10.6084/m9.figshare.28787270,317,207,0,private,0,974313,2025-04-14T05:58:50Z,2025-04-14T06:33:28Z,2025-04-14T06:33:27Z,John Onimisi Obidi,"Astronomical sciences not elsewhere classified; Cosmology and extragalactic astronomy; Galactic astronomy; General relativity and gravitational waves; High energy astrophysics and galactic cosmic rays; Atomic and molecular physics; Atomic, molecular and optical physics not elsewhere classified; Lasers and quantum electronics; Classical and physical optics; Classical physics not elsewhere classified; Electrostatics and electrodynamics; Thermodynamics and statistical physics; Particle physics; Particle and high energy physics not elsewhere classified; Field theory and string theory; Astroparticle physics and particle cosmology; Complex physical systems; Other physical sciences not elsewhere classified; Degenerate quantum gases and atom optics; Foundations of quantum mechanics; Quantum information, computation and communication; Quantum physics not elsewhere classified; Quantum technologies","General relativity (Physics), Astrophysics Breakthrough, quantum mechanics methods, quantum gravity and cosmology, unification of physics, Quantum Gravity, Particle physics, standard model and beyond, Albert Einstein, Schrodinger equations, Einstein Field Equations (EFE), Max Born, decoherence times, Entanglement Formation Mechanism, Wave Function Collapse, Wigner's friend paradox, EPR Paradox, ER=EPR, Wormholes, Black holes, Gravity Models, String Theory & Extra Dimensions, Loop Quantum Gravity",CC BY 4.0,dataset,"Obidi, John Onimisi (2025). Einstein and Bohr Finally Reconciled on Quantum Theory: The Theory of Entropicity (ToE) as the Unifying Resolution to the Problem of Quantum Measurement and Wave Function Collapse:  A Befitting Contribution to this Year’s Centennial Reflection and Celebration of the Birth of Quantum Mechanics. figshare. Dataset. https://doi.org/10.6084/m9.figshare.28787270",False,,,https://figshare.com/articles/dataset/Einstein_and_Bohr_Finally_Reconciled_on_Quantum_Theory_The_Theory_of_Entropicity_ToE_as_the_Unifying_Resolution_to_the_Problem_of_Quantum_Measurement_and_Wave_Function_Collapse_A_Befitting_Contribution_to_this_Year_s_Centennial_Reflection_a/28787270
29289938,"On the Discovery of New Laws of Conservation and Uncertainty, Probability and CPT-Theorem Symmetry-Breaking in the Standard Model of Particle Physics: More Revolutionary Insights from the Theory of Entropicity (ToE).",10.6084/m9.figshare.29289938,188,68,0,private,0,1960443,2025-06-11T06:11:47Z,2025-06-11T06:32:23Z,2025-06-11T06:32:22Z,John Onimisi Obidi,"Quantum physics not elsewhere classified; Classical physics not elsewhere classified; Thermodynamics and statistical physics; Foundations of quantum mechanics; Quantum information, computation and communication; Quantum technologies; Degenerate quantum gases and atom optics; Particle physics; Particle and high energy physics not elsewhere classified; Field theory and string theory; Astroparticle physics and particle cosmology; Atomic and molecular physics; Atomic, molecular and optical physics not elsewhere classified; Lasers and quantum electronics; Nonlinear optics and spectroscopy; Photonics, optoelectronics and optical communications; Terahertz physics; Other physical sciences not elsewhere classified; Complex physical systems; Nuclear physics; Plasma physics; fusion plasmas; electrical discharges; Nuclear and plasma physics not elsewhere classified; Condensed matter characterisation technique development; Condensed matter modelling and density functional theory; Condensed matter physics not elsewhere classified; Galactic astronomy; General relativity and gravitational waves; High energy astrophysics and galactic cosmic rays; Planetary science (excl. solar system and planetary geology); Cosmology and extragalactic astronomy; Astronomical instrumentation; Astronomical sciences not elsewhere classified; Solar system energetic particles; Space sciences not elsewhere classified; Solar system planetary science (excl. planetary geology); Astrodynamics and space situational awareness; Medical physics; Medical and biological physics not elsewhere classified; Biological physics","Quantum Physics With a Single-Particle, standard model )., BlackHole Information, CPTSymmetryBreaking, Entropic Speed Limit, Entropic Probability Law, Microsoft’s Azure Majorana1 Qubits, Google’s Quantum Core Breakthrough Experiment, Standard Model, Born Rule",CC BY 4.0,dataset,"Obidi, John Onimisi (2025). On the Discovery of New Laws of Conservation and Uncertainty, Probability and CPT-Theorem Symmetry-Breaking in the Standard Model of Particle Physics: More Revolutionary Insights from the Theory of Entropicity (ToE).. figshare. Dataset. https://doi.org/10.6084/m9.figshare.29289938",False,,,https://figshare.com/articles/dataset/On_the_Discovery_of_New_Laws_of_Conservation_and_Uncertainty_Probability_and_CPT-Theorem_Symmetry-Breaking_in_the_Standard_Model_of_Particle_Physics_More_Revolutionary_Insights_from_the_Theory_of_Entropicity_ToE_/29289938
29441939,"A Critical Review of the Theory of Entropicity (ToE) on  Original Contributions, Conceptual Innovations, and Pathways  towards Enhanced Mathematical Rigor: An Addendum to the Discovery of New Laws of Conservation and  Uncertainty",10.6084/m9.figshare.29441939,309,155,0,private,0,2648113,2025-06-30T22:41:00Z,2025-06-30T22:54:40Z,2025-06-30T22:54:40Z,John Onimisi Obidi,"Classical and physical optics; Classical physics not elsewhere classified; Thermodynamics and statistical physics; Electrostatics and electrodynamics; Biological physics; Medical physics; Medical and biological physics not elsewhere classified; Condensed matter imaging; Condensed matter characterisation technique development; Soft condensed matter; Electronic and magnetic properties of condensed matter; superconductivity; Condensed matter physics not elsewhere classified; Condensed matter modelling and density functional theory; Nuclear physics; Nuclear and plasma physics not elsewhere classified; Plasma physics; fusion plasmas; electrical discharges; Astroparticle physics and particle cosmology; Field theory and string theory; Particle and high energy physics not elsewhere classified; Particle physics; Other physical sciences not elsewhere classified; Complex physical systems; Degenerate quantum gases and atom optics; Foundations of quantum mechanics; Quantum information, computation and communication; Quantum physics not elsewhere classified; Quantum technologies","quantum 31 P NMR experiment, field theory prediction, General relativity (Physics) Gravitational waves, Quantum Mechanics Free Energy Calculations, Standard Model Extensions, Astrophysics - High Energy Astrophysical Phenomena, Particle Physical State, Particle physics, standard model and beyond",CC BY 4.0,dataset,"Obidi, John Onimisi (2025). A Critical Review of the Theory of Entropicity (ToE) on  Original Contributions, Conceptual Innovations, and Pathways  towards Enhanced Mathematical Rigor: An Addendum to the Discovery of New Laws of Conservation and  Uncertainty. figshare. Dataset. https://doi.org/10.6084/m9.figshare.29441939",False,,,https://figshare.com/articles/dataset/A_Critical_Review_of_the_Theory_of_Entropicity_ToE_on_Original_Contributions_Conceptual_Innovations_and_Pathways_towards_Enhanced_Mathematical_Rigor_An_Addendum_to_the_Discovery_of_New_Laws_of_Conservation_and_Uncertainty/29441939
